City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Bathsheba,BB,2022-06-08 21:24:02,13.2167,-59.5167,84.81,70,40,20.71
59,Provideniya,RU,2022-06-08 21:24:02,64.3833,-173.3,41.11,81,0,8.95
60,Gisborne,NZ,2022-06-08 21:24:03,-38.6533,178.0042,56.5,79,100,6.2
61,Oussouye,SN,2022-06-08 21:24:03,12.485,-16.5469,81.37,76,25,10.36
62,Bozhou,CN,2022-06-08 21:24:03,33.8772,115.7703,73.81,71,76,5.46
63,San Juan Del Sur,NI,2022-06-08 21:24:03,11.2529,-85.8705,82.62,78,40,4.61
64,Carnarvon,AU,2022-06-08 21:24:04,-24.8667,113.6333,65.89,89,85,12.75
65,Cape Town,ZA,2022-06-08 21:22:03,-33.9258,18.4232,63.12,87,0,6.91
66,Atuona,PF,2022-06-08 21:24:04,-9.8,-139.0333,78.33,74,18,19.13
67,Evensk,RU,2022-06-08 21:24:04,61.95,159.2333,47.95,77,100,5.1
68,New Norfolk,AU,2022-06-08 21:24:05,-42.7826,147.0587,45.91,75,80,5.99
69,Namatanai,PG,2022-06-08 21:24:05,-3.6667,152.4333,79.5,72,42,4.54
70,Katsuura,JP,2022-06-08 21:24:05,35.1333,140.3,62.62,91,98,11.36
71,Nouakchott,MR,2022-06-08 21:20:36,18.0858,-15.9785,73.33,85,93,13.15
72,Avarua,CK,2022-06-08 21:24:05,-21.2078,-159.775,78.85,69,75,5.75
73,Tutoia,BR,2022-06-08 21:24:06,-2.7619,-42.2744,79.09,83,84,9.06
74,Ambalema,CO,2022-06-08 21:24:06,4.7841,-74.7627,88.93,51,54,1.79
75,Dudinka,RU,2022-06-08 21:24:06,69.4058,86.1778,38.62,75,83,4.21
76,Iqaluit,CA,2022-06-08 21:24:07,63.7506,-68.5145,49.73,46,40,4.61
77,Blagoyevo,RU,2022-06-08 21:24:07,63.3667,47.9167,53.67,77,9,4.29
78,Castanhal,BR,2022-06-08 21:24:07,-1.2939,-47.9264,74.91,96,79,3.85
79,Jijiga,ET,2022-06-08 21:24:07,9.35,42.8,61.32,90,81,9.33
80,Alexandria,EG,2022-06-08 21:24:08,31.2156,29.9553,75.74,69,0,9.22
81,Kuvandyk,RU,2022-06-08 21:24:08,51.4781,57.3552,52.09,76,31,5.26
82,Airai,TL,2022-06-08 21:24:08,-8.9266,125.4092,59.04,96,58,3.13
83,Kavieng,PG,2022-06-08 21:24:08,-2.5744,150.7967,81.32,64,4,8.5
84,Hermanus,ZA,2022-06-08 21:24:09,-34.4187,19.2345,63.03,76,32,14.12
85,Bambous Virieux,MU,2022-06-08 21:24:04,-20.3428,57.7575,71.85,83,40,6.91
86,Hambantota,LK,2022-06-08 21:24:09,6.1241,81.1185,79.14,100,20,9.22
87,Santa Cruz De La Palma,ES,2022-06-08 21:24:09,28.6835,-17.7642,69.94,83,0,16.11
88,Saint-Philippe,RE,2022-06-08 21:24:10,-21.3585,55.7679,67.59,84,87,12.53
89,Hobart,AU,2022-06-08 21:21:58,-42.8794,147.3294,46.26,71,40,10.36
90,Nelson Bay,AU,2022-06-08 21:19:55,-32.7167,152.15,46.99,78,1,20.13
91,Lima,PE,2022-06-08 21:20:34,-12.0432,-77.0282,64.65,72,0,10.36
92,Luanshya,ZM,2022-06-08 21:24:10,-13.1367,28.4166,55.51,79,30,7.49
93,Knysna,ZA,2022-06-08 21:24:10,-34.0363,23.0471,66.43,47,1,8.12
94,Zeya,RU,2022-06-08 21:24:11,53.75,127.2667,59.79,80,20,4.0
95,Codrington,AU,2022-06-08 21:24:11,-38.2667,141.9667,52.25,78,100,18.86
96,Butaritari,KI,2022-06-08 21:24:11,3.0707,172.7902,81.73,75,91,11.61
97,Hamilton,US,2022-06-08 21:25:11,39.1834,-84.5333,79.23,95,100,11.5
98,Waipawa,NZ,2022-06-08 21:25:12,-41.4122,175.5153,54.81,71,51,14.25
99,Vila Velha,BR,2022-06-08 21:25:12,-20.3297,-40.2925,75.15,82,0,4.61
100,Saran,FR,2022-06-08 21:25:12,47.9501,1.876,59.02,82,0,5.75
101,Port Alfred,ZA,2022-06-08 21:25:13,-33.5906,26.891,68.18,39,0,9.91
102,Vanimo,PG,2022-06-08 21:25:13,-2.6741,141.3028,76.53,89,100,3.74
103,Alexandroupoli,GR,2022-06-08 21:24:22,40.8475,25.8744,70.32,73,20,0.0
104,Coquimbo,CL,2022-06-08 21:25:13,-29.9533,-71.3436,58.73,82,20,6.91
105,Nivala,FI,2022-06-08 21:25:14,63.9167,24.9667,52.68,96,87,4.32
106,San Vicente,AR,2022-06-08 21:25:14,-26.6167,-54.1333,58.59,91,1,3.33
107,Vestmannaeyjar,IS,2022-06-08 21:25:14,63.4427,-20.2734,50.36,78,100,21.25
108,Marsh Harbour,BS,2022-06-08 21:25:14,26.5412,-77.0636,82.15,70,15,11.18
109,Gazanjyk,TM,2022-06-08 21:25:15,39.2446,55.5154,78.73,53,54,9.71
110,Hasaki,JP,2022-06-08 21:25:15,35.7333,140.8333,61.2,85,98,14.58
111,Tucuma,BR,2022-06-08 21:25:15,-0.1833,-50.05,77.99,88,86,5.3
112,Sandnessjoen,NO,2022-06-08 21:25:15,66.0217,12.6316,49.64,73,20,10.36
113,Lebu,CL,2022-06-08 21:25:16,-37.6167,-73.65,53.64,88,91,8.55
114,Xiaoweizhai,CN,2022-06-08 21:25:16,26.1903,107.5125,67.71,95,91,2.91
115,Qaanaaq,GL,2022-06-08 21:25:16,77.484,-69.3632,31.71,86,89,3.49
116,Pevek,RU,2022-06-08 21:25:17,69.7008,170.3133,41.72,66,62,0.74
117,Talcahuano,CL,2022-06-08 21:25:17,-36.7167,-73.1167,53.28,94,100,6.91
118,Dhidhdhoo,MV,2022-06-08 21:25:17,6.8833,73.1,82.33,73,89,12.1
119,Nanortalik,GL,2022-06-08 21:25:17,60.1432,-45.2371,39.87,81,58,1.86
120,Arraial Do Cabo,BR,2022-06-08 21:25:18,-22.9661,-42.0278,73.26,83,75,9.22
121,Port Blair,IN,2022-06-08 21:25:18,11.6667,92.75,81.55,80,100,14.88
122,Castro,BR,2022-06-08 21:25:18,-24.7911,-50.0119,55.99,91,42,4.03
123,Dikson,RU,2022-06-08 21:25:18,73.5069,80.5464,28.36,91,66,4.18
124,Roald,NO,2022-06-08 21:25:19,62.5833,6.1333,53.01,81,20,18.41
125,Yakeshi,CN,2022-06-08 21:25:19,49.2833,120.7333,52.86,69,8,3.44
126,Sao Filipe,CV,2022-06-08 21:25:19,14.8961,-24.4956,72.68,86,9,8.34
127,Mehamn,NO,2022-06-08 21:25:20,71.0357,27.8492,44.55,65,20,25.32
128,Port Hardy,CA,2022-06-08 21:25:20,50.6996,-127.4199,60.98,63,75,12.66
129,Saint-Pierre,RE,2022-06-08 21:25:20,-21.3393,55.4781,67.91,94,100,5.75
130,Severo-Kurilsk,RU,2022-06-08 21:25:21,50.6789,156.125,43.88,79,100,6.6
131,Kaitangata,NZ,2022-06-08 21:25:21,-46.2817,169.8464,40.82,91,74,5.19
132,Necochea,AR,2022-06-08 21:25:21,-38.5473,-58.7368,55.51,54,7,4.09
133,Saskylakh,RU,2022-06-08 21:25:21,71.9167,114.0833,53.2,77,76,3.58
134,Zhigansk,RU,2022-06-08 21:25:22,66.7697,123.3711,62.58,48,66,1.5
135,Los Llanos De Aridane,ES,2022-06-08 21:25:22,28.6585,-17.9182,65.95,83,0,16.11
136,Antalaha,MG,2022-06-08 21:25:22,-14.9003,50.2788,70.05,84,24,7.92
137,Port Lincoln,AU,2022-06-08 21:25:22,-34.7333,135.8667,54.54,69,94,9.37
138,Portland,US,2022-06-08 21:20:36,45.5234,-122.6762,75.33,44,75,5.01
139,Aksum,ET,2022-06-08 21:25:23,14.1245,38.7244,67.23,41,95,4.14
140,Fomboni,KM,2022-06-08 21:25:23,-12.28,43.7425,79.63,65,0,15.23
141,Ostrovnoy,RU,2022-06-08 21:25:23,68.0531,39.5131,53.87,57,75,14.74
142,Cherskiy,RU,2022-06-08 21:26:24,68.75,161.3,58.24,48,53,15.32
143,Abu Dhabi,AE,2022-06-08 21:25:59,24.4667,54.3667,91.51,48,0,1.14
144,Marienburg,PL,2022-06-08 21:26:24,54.0359,19.0266,62.11,82,40,6.93
145,Zhangjiakou,CN,2022-06-08 21:26:24,40.81,114.8794,56.97,79,33,5.64
146,Cervo,ES,2022-06-08 21:26:24,43.6702,-7.4101,61.97,94,98,6.6
147,Bowling Green,US,2022-06-08 21:26:25,36.9903,-86.4436,86.14,64,40,16.11
148,Amahai,ID,2022-06-08 21:26:25,-3.3333,128.9167,77.23,85,89,3.0
149,Fuxin,CN,2022-06-08 21:26:25,42.0156,121.6589,59.4,84,100,2.8
150,Moron,AR,2022-06-08 21:26:26,-34.6534,-58.6198,51.69,82,2,6.91
151,Grand Gaube,MU,2022-06-08 21:26:26,-20.0064,57.6608,72.0,78,1,3.0
152,Deputatskiy,RU,2022-06-08 21:26:26,69.3,139.9,39.49,53,3,13.85
153,Santa Maria,BR,2022-06-08 21:25:35,-29.6842,-53.8069,60.1,94,100,3.44
154,Liverpool,GB,2022-06-08 21:26:26,53.4106,-2.9779,59.72,79,40,5.01
