City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Waipawa,NZ,2022-06-07 20:43:31,-41.4122,175.5153,52.9,84,12,12.91
67,Lavrentiya,RU,2022-06-07 20:43:32,65.5833,-171.0,42.1,67,43,0.85
68,Vaini,TO,2022-06-07 20:43:32,-21.2,-175.2,75.36,73,20,10.36
69,Bethel,US,2022-06-07 20:43:32,41.3712,-73.414,75.02,70,100,4.0
70,Axim,GH,2022-06-07 20:43:32,4.8699,-2.2405,79.02,77,31,9.06
71,Carnarvon,AU,2022-06-07 20:43:33,-24.8667,113.6333,71.01,75,100,22.64
72,Inirida,CO,2022-06-07 20:43:33,3.8653,-67.9239,80.24,92,45,2.33
73,Hobart,AU,2022-06-07 20:43:33,-42.8794,147.3294,42.66,82,75,11.5
74,Chicama,PE,2022-06-07 20:43:34,-7.8447,-79.1469,64.94,65,15,8.5
75,Mahebourg,MU,2022-06-07 20:43:34,-20.4081,57.7,72.25,83,75,3.44
76,Tarauaca,BR,2022-06-07 20:43:34,-8.1614,-70.7656,75.49,92,95,0.16
77,Kill,IE,2022-06-07 20:43:34,52.1761,-7.335,57.81,97,100,12.66
78,Airai,TL,2022-06-07 20:43:35,-8.9266,125.4092,58.66,88,100,3.13
79,Monywa,MM,2022-06-07 20:43:35,22.1167,95.1333,82.96,69,100,12.68
80,Punta Arenas,CL,2022-06-07 20:39:36,-53.15,-70.9167,44.71,65,75,9.22
81,Santo Tomas,PH,2022-06-07 20:43:35,14.1079,121.1414,80.85,92,92,1.63
82,Moron,AR,2022-06-07 20:43:36,-34.6534,-58.6198,53.06,68,65,3.94
83,Nouadhibou,MR,2022-06-07 20:43:36,20.931,-17.0347,67.98,83,43,14.97
84,Lagoa,PT,2022-06-07 20:43:36,39.05,-27.9833,64.67,94,100,18.39
85,Port Alfred,ZA,2022-06-07 20:43:37,-33.5906,26.891,64.22,58,22,11.21
86,Vestmannaeyjar,IS,2022-06-07 20:43:37,63.4427,-20.2734,50.27,87,100,22.28
87,Kapaa,US,2022-06-07 20:43:37,22.0752,-159.319,81.12,77,20,12.66
88,Havoysund,NO,2022-06-07 20:43:37,70.9963,24.6622,44.83,84,100,31.61
89,Papara,BR,2022-06-07 20:43:38,-3.9839,-38.7273,80.69,88,90,2.39
90,Cidreira,BR,2022-06-07 20:43:38,-30.1811,-50.2056,63.32,82,97,7.45
